"Brand","Path"
"BAJAJ","imges\brand\Bajaj.jpg"
"KTM","imges\brand\ktm.jpg"
"ROYAL ENFIELD","imges\brand\re.jpg"
"HONDA","imges\brand\honda.jpg"
